date,chau_open,chau_close
2019-10-01,20.34,20.14
2019-10-02,20.0,20.045
2019-10-03,20.09,20.26
2019-10-04,20.15,20.42
2019-10-07,20.21,20.23
2019-10-08,20.23,19.93
2019-10-09,20.51,20.61
2019-10-10,20.99,21.33
2019-10-11,21.75,21.9
2019-10-14,22.11,22.095
2019-10-15,22.05,22.01
2019-10-16,21.6,21.72
2019-10-17,21.87,21.97
2019-10-18,21.19,21.25
2019-10-21,21.47,21.59
2019-10-22,21.65,21.55
2019-10-23,21.33,21.58
2019-10-24,21.44,21.32
2019-10-25,21.51,21.94
2019-10-28,22.25,22.23
2019-10-29,21.78,21.73
2019-10-30,21.53,21.63
2019-10-31,21.56,21.45
2019-11-01,22.31,22.43
2019-11-04,22.75,22.76
2019-11-05,23.18,23.06
2019-11-06,22.89,22.74
2019-11-07,23.36,23.45
2019-11-08,22.97,23.11
2019-11-11,22.16,22.24
2019-11-12,22.01,21.89
2019-11-13,21.73,21.73
2019-11-14,21.92,22.09
2019-11-15,21.87,21.85
2019-11-18,21.96,21.84
2019-11-19,22.38,22.25
2019-11-20,21.81,21.78
2019-11-21,21.63,21.68
2019-11-22,21.1,21.0
2019-11-25,21.38,21.44
2019-11-26,21.49,21.56
2019-11-27,21.5,21.75
2019-11-29,20.95,20.91
2019-12-02,20.85,20.61
2019-12-03,20.49,20.66
2019-12-04,21.09,21.15
2019-12-05,21.36,21.35
2019-12-06,21.72,21.76
2019-12-09,21.5,21.33
2019-12-10,21.6,21.72
2019-12-11,21.55,21.73
2019-12-12,21.52,22.46
2019-12-13,22.67,22.52
2019-12-16,23.03,23.04
2019-12-17,23.43,23.65
2019-12-18,23.57,23.56
2019-12-19,23.39,23.41
2019-12-20,23.35,23.5
2019-12-23,22.8,22.67
2019-12-24,22.82,22.85
2019-12-26,23.28,23.41
2019-12-27,23.34,23.25
2019-12-30,23.97,23.78
2019-12-31,24.09,24.4
2020-01-02,25.08,25.44
2020-01-03,24.94,24.82
2020-01-06,24.66,24.86
2020-01-07,25.1,25.12
2020-01-08,24.78,25.11
2020-01-09,25.51,25.44
2020-01-10,25.37,25.4
2020-01-13,26.05,26.43
2020-01-14,26.01,26.02
2020-01-15,25.72,25.7
2020-01-16,25.72,25.74
2020-01-17,26.02,25.94
2020-01-21,24.47,24.35
2020-01-22,24.66,24.32
2020-01-23,22.85,23.28
2020-01-24,23.09,22.65
2020-01-27,19.56,20.25
2020-01-28,20.41,20.385
2020-01-29,20.88,20.61
2020-01-30,19.74,20.01
2020-01-31,19.55,19.21
2020-02-03,18.64,18.69
2020-02-04,20.22,20.82
2020-02-05,21.58,20.9
2020-02-06,21.18,20.72
2020-02-07,20.77,20.59
2020-02-10,20.95,21.39
2020-02-11,21.95,22.04
2020-02-12,22.5,22.55
2020-02-13,21.88,21.71
2020-02-14,22.15,22.0
2020-02-18,22.66,22.54
2020-02-19,22.8,22.84
2020-02-20,23.36,23.05
2020-02-21,23.69,23.62
2020-02-24,22.22,22.55
2020-02-25,23.21,22.5
2020-02-26,23.08,23.04
2020-02-27,22.98,23.07
2020-02-28,21.31,22.23
2020-03-02,23.5,23.84
2020-03-03,23.9,23.77
2020-03-04,24.3,24.72
2020-03-05,24.92,24.77
2020-03-06,23.67,23.68
2020-03-09,21.33,22.47
2020-03-10,24.15,24.57
2020-03-11,23.06,22.73
2020-03-12,20.87,19.82
2020-03-13,22.0,21.96
2020-03-16,17.22,17.56
2020-03-17,17.78,18.87
2020-03-18,16.85,16.98
2020-03-19,17.0,17.286
2020-03-20,17.62,16.13
2020-03-23,16.38,16.3
2020-03-24,17.6,17.7
2020-03-25,17.7,18.08
2020-03-26,17.89,18.77
2020-03-27,17.36,17.24
2020-03-30,17.17,17.85
2020-03-31,17.799,17.52
2020-04-01,17.31,16.95
2020-04-02,17.6,18.16
2020-04-03,18.034,17.84
2020-04-06,18.59,18.77
2020-04-07,19.43,18.29
2020-04-08,18.6,18.67
2020-04-09,18.6,18.55
2020-04-13,18.28,18.3
2020-04-14,18.97,19.0
2020-04-15,18.27,18.27
2020-04-16,18.52,18.38
2020-04-17,18.85,18.91
2020-04-20,18.86,18.83
2020-04-21,18.24,18.13
2020-04-22,18.92,18.89
2020-04-23,18.96,18.81
2020-04-24,18.72,18.66
2020-04-27,18.92,19.0
2020-04-28,19.31,19.15
2020-04-29,19.3,19.5
2020-04-30,19.7,18.87
2020-05-01,18.27,17.64
2020-05-04,17.72,17.75
2020-05-05,18.05,18.23
2020-05-06,19.22,19.26
2020-05-07,19.72,19.73
2020-05-08,20.11,20.25
2020-05-11,19.87,19.9
2020-05-12,20.23,19.93
2020-05-13,20.16,19.815
2020-05-14,19.43,20.0
2020-05-15,19.21,19.26
2020-05-18,19.83,20.22
2020-05-19,19.99,19.84
2020-05-20,20.11,20.12
2020-05-21,19.55,19.29
2020-05-22,18.75,18.74
2020-05-26,19.21,18.91
2020-05-27,18.71,18.62
2020-05-28,18.8,18.52
2020-05-29,18.85,19.16
2020-06-01,19.58,20.13
2020-06-02,20.34,20.59
2020-06-03,20.76,20.89
2020-06-04,20.42,20.45
2020-06-05,21.1,21.15
2020-06-08,21.0,21.215
2020-06-09,21.1,21.11
2020-06-10,21.26,21.32
2020-06-11,20.57,20.39
2020-06-12,21.0,20.79
