date,nav
2020-02-18,1.0
2020-02-19,0.998246
2020-02-20,0.989035
2020-02-21,0.964035
2020-02-24,1.010965
2020-02-25,1.013158
2020-02-26,0.989474
2020-02-27,0.988158
2020-02-28,1.025
2020-03-02,0.954386
2020-03-03,0.946577
2020-03-04,0.984409
2020-03-05,0.9864
2020-03-06,0.942993
2020-03-09,0.894808
2020-03-10,0.978435
2020-03-11,0.905162
2020-03-12,0.789279
2020-03-13,0.877685
2020-03-16,1.052903
2020-03-17,1.000736
2020-03-18,1.076
2020-03-19,1.063815
2020-03-20,1.109849
2020-03-23,1.103079
2020-03-24,1.047328
2020-03-25,1.032196
2020-03-26,1.004718
2020-03-27,1.065646
2020-03-30,1.041355
2020-03-31,1.054496
2020-04-01,1.077195
2020-04-02,1.02901
2020-04-03,1.041753
2020-04-06,1.004718
2020-04-07,1.023833
2020-04-08,1.0087
2020-04-09,1.013479
2020-04-13,1.023435
2020-04-14,0.995559
2020-04-15,1.024629
2020-04-16,1.020249
2020-04-17,0.999143
2020-04-20,1.002329
2020-04-21,1.030204
2020-04-22,0.999939
2020-04-23,1.003125
2020-04-24,1.009099
2020-04-27,0.995559
2020-04-28,0.989586
2020-04-29,0.975648
2020-04-30,0.926913
2020-05-01,0.866494
2020-05-04,0.86895
2020-05-05,0.845372
2020-05-06,0.794777
2020-05-07,0.771691
2020-05-08,0.746148
2020-05-11,0.76334
2020-05-12,0.761866
2020-05-13,0.767515
2020-05-14,0.758428
2020-05-15,0.794777
2020-05-18,0.747621
2020-05-19,0.766287
2020-05-20,0.752533
2020-05-21,0.793304
2020-05-22,0.82032
2020-05-26,0.81197
2020-05-27,0.826215
2020-05-28,0.831127
2020-05-29,0.79969
2020-06-01,0.752042
2020-06-02,0.729447
2020-06-03,0.71471
2020-06-04,0.736324
2020-06-05,0.701939
2020-06-08,0.716569
2020-06-09,0.713022
2020-06-10,0.720115
2020-06-11,0.688703
2020-06-12,0.702214
2020-06-15,0.699512
2020-06-16,0.699512
2020-06-17,0.714711
2020-06-18,0.727884
2020-06-19,0.732275
2020-06-22,0.75423
2020-06-23,0.76031
2020-06-24,0.750852
2020-06-25,0.749839
2020-06-26,0.751528
2020-06-29,0.753892
2020-06-30,0.77078
2020-07-01,0.806583
2020-07-02,0.846102
2020-07-06,1.039304
2020-07-07,0.995394
2020-07-08,1.051463
2020-07-09,1.055854
2020-07-10,1.026131
2020-07-13,1.054503
2020-07-14,1.057881
2020-07-15,1.035926
2020-07-16,0.942027
2020-07-17,0.948107
2020-07-20,1.003163
2020-07-21,0.99607
2020-07-22,0.987626
2020-07-23,0.987626
2020-07-24,0.929868
2020-07-27,0.93257
2020-07-28,0.925814
2020-07-29,0.987288
2020-07-30,0.966684
2020-07-31,0.982221
2020-08-03,1.034575
2020-08-04,1.03829
2020-08-05,1.04437
2020-08-06,1.053827
2020-08-07,1.008229
2020-08-10,1.019375
2020-08-11,0.999785
2020-08-12,1.002487
2020-08-13,0.985599
2020-08-14,1.005527
2020-08-17,1.069027
2020-08-18,1.062272
2020-08-19,1.02478
2020-08-20,1.026469
2020-08-21,1.024445
2020-08-24,1.039641
2020-08-25,1.051463
2020-08-26,1.028495
2020-08-27,1.036264
2020-08-28,1.102128
2020-08-31,1.078147
2020-09-01,1.110234
2020-09-02,1.110234
2020-09-03,1.072067
2020-09-04,1.074769
2020-09-08,1.019375
2020-09-09,1.007891
2020-09-10,0.969724
2020-09-11,1.001812
2020-09-14,1.031873
2020-09-15,1.061258
2020-09-16,1.051463
2020-09-17,1.048085
2020-09-18,1.072742
2020-09-21,1.064298
2020-09-22,1.040992
2020-09-23,1.00654
2020-09-24,0.985599
2020-09-25,0.98999
2020-09-28,1.004852
2020-09-29,1.017011
2020-09-30,1.020051
2020-10-01,1.05349
2020-10-02,1.029508
2020-10-05,1.053827
2020-10-06,1.059232
2020-10-07,1.074431
2020-10-08,1.078822
2020-10-09,1.096724
2020-10-12,1.140633
2020-10-13,1.147388
2020-10-14,1.127123
2020-10-15,1.126109
2020-10-16,1.139282
