date,nav
2020-02-24,1.00658
2020-02-25,1.008032
2020-02-26,1.027869
2020-02-27,1.026998
2020-02-28,1.100542
2020-03-02,1.037352
2020-03-03,0.984851
2020-03-04,1.001386
2020-03-05,1.043261
2020-03-06,1.008528
2020-03-09,0.938573
2020-03-10,0.984753
2020-03-11,0.950118
2020-03-12,0.924484
2020-03-13,0.764614
2020-03-16,0.853847
2020-03-17,0.85826
2020-03-18,0.890034
2020-03-19,0.901508
2020-03-20,0.883856
2020-03-23,0.934783
2020-03-24,0.89533
2020-03-25,0.855965
2020-03-26,0.866468
2020-03-27,0.859054
2020-03-30,0.866733
2020-03-31,0.871499
2020-04-01,0.873176
2020-04-02,0.838489
2020-04-03,0.852699
2020-04-07,0.816953
2020-04-08,0.821719
2020-04-09,0.815188
2020-04-10,0.822426
2020-04-13,0.830457
2020-04-14,0.80089
2020-04-15,0.810863
2020-04-16,0.807598
2020-04-17,0.807686
2020-04-20,0.80292
2020-04-21,0.822779
2020-04-22,0.805479
2020-04-23,0.811128
2020-04-24,0.817218
2020-04-27,0.808304
2020-04-28,0.798771
2020-04-29,0.789239
2020-04-30,0.802034
2020-05-06,0.806821
2020-05-07,0.811181
2020-05-08,0.794529
2020-05-11,0.795354
2020-05-12,0.794941
2020-05-13,0.79049
2020-05-14,0.803185
2020-05-15,0.8308
2020-05-18,0.822392
2020-05-19,0.809862
2020-05-20,0.815302
2020-05-21,0.827008
2020-05-22,0.862949
2020-05-25,0.858992
2020-05-26,0.844071
2020-05-27,0.851326
2020-05-28,0.84943
2020-05-29,0.847698
2020-06-01,0.798733
2020-06-02,0.792056
2020-06-03,0.793705
2020-06-04,0.793293
2020-06-05,0.782164
2020-06-08,0.774172
2020-06-09,0.783257
2020-06-10,0.782869
2020-06-11,0.763922
2020-06-12,0.772153
2020-06-15,0.750099
2020-06-16,0.777511
2020-06-17,0.780229
2020-06-18,0.793818
2020-06-19,0.795682
2020-06-22,0.797391
2020-06-23,0.806243
2020-06-24,0.820065
2020-06-29,0.807796
2020-06-30,0.824336
2020-07-01,0.862465
2020-07-02,0.903
2020-07-03,0.935537
2020-07-06,1.062501
2020-07-07,1.054037
2020-07-08,1.072441
2020-07-09,1.102027
2020-07-10,1.066772
2020-07-13,1.102882
2020-07-14,1.085409
2020-07-15,1.063356
2020-07-16,0.970093
2020-07-17,0.981897
2020-07-20,1.027868
2020-07-21,1.03276
2020-07-22,1.041923
2020-07-23,1.044874
2020-07-24,0.958057
2020-07-27,0.970481
2020-07-28,0.982828
