date,cnh_rate
2019-10-01,7.1449
2019-10-02,7.14383
2019-10-03,7.1263
2019-10-04,7.1074
2019-10-07,7.1345
2019-10-08,7.1618
2019-10-09,7.1625
2019-10-10,7.1056
2019-10-11,7.0714
2019-10-14,7.0657
2019-10-15,7.082
2019-10-16,7.0985
2019-10-17,7.0795
2019-10-18,7.0675
2019-10-21,7.0709
2019-10-22,7.0734
2019-10-23,7.0613
2019-10-24,7.0719
2019-10-25,7.0461
2019-10-28,7.06493
2019-10-29,7.06392
2019-10-30,7.0444
2019-10-31,7.0458
2019-11-01,7.0371
2019-11-04,7.0325
2019-11-05,7.0011
2019-11-06,7.0125
2019-11-07,6.9669
2019-11-08,6.9826
2019-11-11,7.0066
2019-11-12,7.0183
2019-11-13,7.0286
2019-11-14,7.0163
2019-11-15,7.0045
2019-11-18,7.0223
2019-11-19,7.0259
2019-11-20,7.0412
2019-11-21,7.0321
2019-11-22,7.0393
2019-11-25,7.0286
2019-11-26,7.0133
2019-11-27,7.0145
2019-11-28,7.0301
2019-11-29,7.0284
2019-12-02,7.0412
2019-12-03,7.06621
2019-12-04,7.0519
2019-12-05,7.038
2019-12-06,7.0213
2019-12-09,7.0354
2019-12-10,7.0278
2019-12-11,7.0301
2019-12-12,6.9308
2019-12-13,6.9765
2019-12-16,6.9881
2019-12-17,6.99703
2019-12-18,6.999
2019-12-19,6.9982
2019-12-20,6.9985
2019-12-23,7.0074
2019-12-24,7.0047
2019-12-25,6.993
2019-12-26,6.9916
2019-12-27,7.0001
2019-12-30,6.9825
2019-12-31,6.9595
2020-01-01,6.9628
2020-01-02,6.9561
2020-01-03,6.9693
2020-01-06,6.96812
2020-01-07,6.9409
2020-01-08,6.9355
2020-01-09,6.9225
2020-01-10,6.91
2020-01-13,6.8806
2020-01-14,6.8852
2020-01-15,6.8905
2020-01-16,6.8749
2020-01-17,6.8609
2020-01-20,6.8656
2020-01-21,6.9076
2020-01-22,6.9087
2020-01-23,6.9286
2020-01-24,6.9263
2020-01-27,6.9838
2020-01-28,6.9632
2020-01-29,6.9708
2020-01-30,6.9823
2020-01-31,6.9964
2020-02-03,7.01475
2020-02-04,6.9905
2020-02-05,6.9718
2020-02-06,6.9752
2020-02-07,7.0045
2020-02-10,6.9818
2020-02-11,6.968
2020-02-12,6.97192
2020-02-13,6.9847
2020-02-14,6.9883
2020-02-17,6.9829
2020-02-18,7.0038
2020-02-19,7.0082
2020-02-20,7.04507
2020-02-21,7.0308
2020-02-24,7.0337
2020-02-25,7.02543
2020-02-26,7.0186
2020-02-27,7.0069
2020-02-28,6.97705
2020-03-02,6.95469
2020-03-03,6.9482
2020-03-04,6.9208
2020-03-05,6.9367
2020-03-06,6.927
2020-03-09,6.94947
2020-03-10,6.95692
2020-03-11,6.972
2020-03-12,7.02679
2020-03-13,7.0194
2020-03-16,7.00823
2020-03-17,7.02628
2020-03-18,7.06912
2020-03-19,7.1544
2020-03-20,7.1256
2020-03-23,7.11333
