date,signal
2019-11-12,NONE
2019-11-13,NONE
2019-11-14,NONE
2019-11-15,NONE
2019-11-18,NONE
2019-11-19,NONE
2019-11-20,NONE
2019-11-21,NONE
2019-11-22,NONE
2019-11-25,NONE
2019-11-26,LONG
2019-11-27,LONG
2019-11-28,LONG
2019-11-29,LONG
2019-12-02,SHORT
2019-12-03,SHORT
2019-12-04,SHORT
2019-12-05,SHORT
2019-12-06,SHORT
2019-12-09,SHORT
2019-12-10,SHORT
2019-12-11,SHORT
2019-12-12,LONG
2019-12-13,LONG
2019-12-16,LONG
2019-12-17,LONG
2019-12-18,LONG
2019-12-19,LONG
2019-12-20,LONG
2019-12-23,LONG
2019-12-24,LONG
2019-12-25,LONG
2019-12-26,LONG
2019-12-27,LONG
2019-12-30,LONG
2019-12-31,LONG
2020-01-01,LONG
2020-01-02,LONG
2020-01-03,LONG
2020-01-06,LONG
2020-01-07,LONG
2020-01-08,LONG
2020-01-09,LONG
2020-01-10,LONG
2020-01-13,LONG
2020-01-14,LONG
2020-01-15,LONG
2020-01-16,LONG
2020-01-17,LONG
2020-01-20,LONG
2020-01-21,LONG
2020-01-22,LONG
2020-01-23,LONG
2020-01-24,LONG
2020-01-27,SHORT
2020-01-28,SHORT
2020-01-29,SHORT
2020-01-30,SHORT
2020-01-31,SHORT
2020-02-03,SHORT
2020-02-04,SHORT
2020-02-05,SHORT
2020-02-06,SHORT
2020-02-07,SHORT
2020-02-10,SHORT
2020-02-11,SHORT
2020-02-12,SHORT
2020-02-13,SHORT
2020-02-14,SHORT
2020-02-17,SHORT
2020-02-18,SHORT
2020-02-19,SHORT
2020-02-20,SHORT
2020-02-21,SHORT
2020-02-24,SHORT
2020-02-25,SHORT
2020-02-26,SHORT
2020-02-27,SHORT
2020-02-28,SHORT
2020-03-02,LONG
2020-03-03,LONG
2020-03-04,LONG
2020-03-05,LONG
2020-03-06,LONG
2020-03-09,LONG
2020-03-10,LONG
2020-03-11,LONG
2020-03-12,SHORT
2020-03-13,SHORT
2020-03-16,SHORT
2020-03-17,SHORT
2020-03-18,SHORT
2020-03-19,SHORT
2020-03-20,SHORT
2020-03-23,SHORT
2020-03-24,SHORT
2020-03-25,SHORT
2020-03-26,SHORT
2020-03-27,SHORT
2020-03-30,SHORT
2020-03-31,SHORT
2020-04-01,SHORT
2020-04-02,SHORT
2020-04-03,SHORT
2020-04-06,SHORT
2020-04-07,SHORT
2020-04-08,SHORT
2020-04-09,SHORT
2020-04-10,SHORT
2020-04-13,SHORT
2020-04-14,SHORT
2020-04-15,SHORT
2020-04-16,SHORT
2020-04-17,SHORT
2020-04-20,SHORT
2020-04-21,SHORT
2020-04-22,SHORT
2020-04-23,SHORT
2020-04-24,SHORT
2020-04-27,SHORT
2020-04-28,SHORT
2020-04-29,LONG
2020-04-30,LONG
2020-05-01,SHORT
2020-05-04,SHORT
2020-05-05,SHORT
2020-05-06,SHORT
2020-05-07,SHORT
2020-05-08,SHORT
2020-05-11,SHORT
2020-05-12,SHORT
2020-05-13,SHORT
2020-05-14,SHORT
2020-05-15,SHORT
2020-05-18,SHORT
2020-05-19,SHORT
2020-05-20,SHORT
2020-05-21,SHORT
2020-05-22,SHORT
2020-05-25,SHORT
2020-05-26,SHORT
2020-05-27,SHORT
2020-05-28,SHORT
2020-05-29,SHORT
2020-06-01,SHORT
2020-06-02,LONG
2020-06-03,LONG
2020-06-04,LONG
2020-06-05,LONG
2020-06-08,LONG
2020-06-09,LONG
2020-06-10,LONG
2020-06-11,LONG
2020-06-12,LONG
2020-06-15,LONG
2020-06-16,LONG
2020-06-17,LONG
2020-06-18,LONG
2020-06-19,LONG
2020-06-22,LONG
2020-06-23,LONG
2020-06-24,LONG
2020-06-25,LONG
2020-06-26,LONG
2020-06-29,LONG
2020-06-30,LONG
2020-07-01,LONG
2020-07-02,LONG
2020-07-03,LONG
2020-07-06,LONG
2020-07-07,LONG
2020-07-08,LONG
2020-07-09,LONG
2020-07-10,LONG
2020-07-13,LONG
2020-07-14,LONG
2020-07-15,LONG
2020-07-16,LONG
2020-07-17,LONG
2020-07-20,LONG
2020-07-21,LONG
2020-07-22,LONG
2020-07-23,LONG
2020-07-24,LONG
2020-07-27,LONG
2020-07-28,LONG
2020-07-29,LONG
2020-07-30,LONG
2020-07-31,LONG
2020-08-03,LONG
2020-08-04,LONG
2020-08-05,LONG
2020-08-06,LONG
2020-08-07,LONG
2020-08-10,LONG
2020-08-11,LONG
2020-08-12,LONG
2020-08-13,LONG
2020-08-14,LONG
2020-08-17,LONG
2020-08-18,LONG
2020-08-19,LONG
2020-08-20,LONG
2020-08-21,LONG
2020-08-24,LONG
2020-08-25,LONG
2020-08-26,LONG
2020-08-27,LONG
2020-08-28,LONG
2020-08-31,LONG
2020-09-01,LONG
2020-09-02,LONG
2020-09-03,LONG
2020-09-04,LONG
2020-09-07,LONG
2020-09-08,LONG
2020-09-09,LONG
2020-09-10,LONG
2020-09-11,LONG
2020-09-14,LONG
2020-09-15,LONG
2020-09-16,LONG
2020-09-17,LONG
2020-09-18,LONG
2020-09-21,LONG
2020-09-22,LONG
2020-09-23,LONG
2020-09-24,LONG
2020-09-25,LONG
2020-09-28,LONG
2020-09-29,LONG
2020-09-30,LONG
2020-10-01,LONG
2020-10-02,LONG
2020-10-05,LONG
2020-10-06,LONG
2020-10-07,LONG
2020-10-08,LONG
2020-10-09,LONG
2020-10-12,LONG
2020-10-13,LONG
2020-10-14,LONG
2020-10-15,LONG
2020-10-16,LONG
2020-10-19,LONG
2020-10-20,LONG
2020-10-21,LONG
2020-10-22,LONG
2020-10-23,LONG
2020-10-26,LONG
2020-10-27,LONG
2020-10-28,LONG
2020-10-29,LONG
2020-10-30,LONG
2020-11-02,LONG
2020-11-03,LONG
2020-11-04,LONG
2020-11-05,LONG
2020-11-06,LONG
2020-11-09,LONG
2020-11-10,LONG
2020-11-11,LONG
2020-11-12,LONG
2020-11-13,LONG
2020-11-16,LONG
2020-11-17,LONG
2020-11-18,LONG
2020-11-19,LONG
2020-11-20,LONG
2020-11-23,LONG
2020-11-24,LONG
2020-11-25,LONG
2020-11-26,LONG
2020-11-27,LONG
2020-11-30,LONG
2020-12-01,LONG
2020-12-02,LONG
2020-12-03,LONG
2020-12-04,LONG
2020-12-07,LONG
2020-12-08,LONG
2020-12-09,LONG
2020-12-10,LONG
2020-12-11,LONG
2020-12-14,LONG
2020-12-15,LONG
2020-12-16,LONG
2020-12-17,LONG
2020-12-18,LONG
2020-12-21,LONG
2020-12-22,LONG
2020-12-23,LONG
2020-12-24,LONG
2020-12-25,LONG
2020-12-28,LONG
2020-12-29,LONG
2020-12-30,LONG
2020-12-31,LONG
2021-01-01,LONG
2021-01-04,LONG
2021-01-05,LONG
2021-01-06,LONG
2021-01-07,LONG
2021-01-08,LONG
2021-01-11,LONG
2021-01-12,LONG
2021-01-13,LONG
2021-01-14,LONG
2021-01-15,LONG
